sad	sentiment^sad
bitter	sentiment^sad^bitter
heartbroken	sentiment^sad^heartbroken
melancholy	sentiment^sad^melancholy
mourn	sentiment^sad^mourn
pessimistic	sentiment^sad^pessimistic
sombre	sentiment^sad^sombre
sorrow	sentiment^sad^sorrow
sorry	sentiment^sad^sorry
harsh	sentiment^sad^harsh
dull	sentiment^sad^dull
depressing	sentiment^sad^depressing
dim	sentiment^sad^dim
discouraging	sentiment^sad^discouraging
grief	sentiment^sad^grief
gloomy	sentiment^sad^gloomy
fatal	sentiment^sad^fatal
death	sentiment^sad^death
bleak	sentiment^sad^bleak
dark	sentiment^sad^dark
funeral	sentiment^sad^funeral
grim	sentiment^sad^grim
distress	sentiment^sad^distress
pain	sentiment^sad^pain
painful	sentiment^sad^painful
apology	sentiment^sad^apology
cry	sentiment^sad^cry
bad	sentiment^sad^bad
scared	sentiment^sad^scared
condolence	sentiment^sad^condolence
prayers	sentiment^sad^prayers
demise	sentiment^sad^demise
sympathy	sentiment^sad^sympathy
rest	sentiment^sad^rest
peace	sentiment^sad^peace
unfortunate	sentiment^sad^unfortunate
regret	sentiment^sad^regret
