delightful	sentiment^delightful
satisyfying	sentiment^delightful^satisyfying
excited	sentiment^delightful^excited
awarded	sentiment^delightful^awarded
achievement	sentiment^delightful^achievement
proud	sentiment^delightful^proud
win	sentiment^delightful^win
pleased	sentiment^delightful^pleased
fun	sentiment^delightful^fun
humorous	sentiment^delightful^humorous
charming	sentiment^delightful^charming
magnificent	sentiment^delightful^magnificent
fascinating	sentiment^delightful^fascinating
beautiful	sentiment^delightful^beautiful
delicious	sentiment^delightful^delicious
satisyfying	sentiment^delightful^satisyfying
miraculous	sentiment^delightful^miraculous
elated	sentiment^delightful^elated
happy	sentiment^delightful^happy
thanks	sentiment^delightful^thanks
appreciate	sentiment^delightful^appreciate
great	sentiment^delightful^great
fine	sentiment^delightful^fine
enjoy	sentiment^delightful^enjoy
impressive	sentiment^delightful^impressive
pleasant	sentiment^delightful^pleasant
