 sent_name	 cat_tree
sentiment 	sentiment 
anger	sentiment^anger
fury	sentiment^anger^fury
hatred	sentiment^anger^hatred
animosity	sentiment^anger^animosity
ire	sentiment^anger^ire
irritation	sentiment^anger^irritation
displeasure	sentiment^anger^displeasure
temper	sentiment^anger^temper
illwill	sentiment^anger^illwill
bitterness	sentiment^anger^bitterness
hate	sentiment^anger^hate
enmity	sentiment^anger^enmity
impatient	sentiment^anger^impatient
outrage	sentiment^anger^outrage
rage	sentiment^anger^rage
violence	sentiment^anger^violence
unhappy	sentiment^anger^unhappy
rivalry	sentiment^anger^rivalry
frustration	sentiment^anger^frustration
friction	sentiment^anger^friction
annoy	sentiment^anger^annoy
rivalry	sentiment^anger^rivalry
frenzy	sentiment^anger^frenzy
furor	sentiment^anger^furor
storm	sentiment^anger^storm
outburst	sentiment^anger^outburst
grudge	sentiment^anger^grudge
