love	sentiment^love
affection	sentiment^love^affection
lust	sentiment^love^lust
sex	sentiment^love^sex
friendship	sentiment^love^friendship
closeness	sentiment^love^closeness
passion	sentiment^love^passion
yearning	sentiment^love^yearning
care	sentiment^love^care
warmth	sentiment^love^warmth
tenderness	sentiment^love^tenderness
fidelity	sentiment^love^fidelity
obsession	sentiment^love^obsession
craving	sentiment^love^craving
desire	sentiment^love^desire
excitement	sentiment^love^excitement
longing	sentiment^love^longing
sensuality	sentiment^love^sensuality
intensity	sentiment^love^intensity
gentleness	sentiment^love^gentleness
ambition	sentiment^love^ambition
eagerness	sentiment^love^eagerness
adult	sentiment^love^adult
porn	sentiment^love^porn
