sent_name,cat_tree
sentiment,sentiment
anger,sentiment^anger
acrimony,sentiment^anger^acrimony
animosity,sentiment^anger^animosity
annoyance,sentiment^anger^annoyance
antagonism,sentiment^anger^antagonism
displeasure,sentiment^anger^displeasure
enmity,sentiment^anger^enmity
exasperation,sentiment^anger^exasperation
fury,sentiment^anger^fury
hatred,sentiment^anger^hatred
impatience,sentiment^anger^impatience
indignation,sentiment^anger^indignation
ire,sentiment^anger^ire
irritation,sentiment^anger^irritation
outrage,sentiment^anger^outrage
passion,sentiment^anger^passion
rage,sentiment^anger^rage
resentment,sentiment^anger^resentment
temper,sentiment^anger^temper
violence,sentiment^anger^violence
inflammation,sentiment^anger^inflammation
shock,sentiment^anger^shock
affection,sentiment^anger^affection
attitude,sentiment^anger^attitude
assault,sentiment^anger^assault
belligerence,sentiment^anger^belligerence
animus,sentiment^anger^animus
discontent,sentiment^anger^discontent
disapproval,sentiment^anger^disapproval
alienation,sentiment^anger^alienation
energy,sentiment^anger^energy
irritability,sentiment^anger^irritability
bitterness,sentiment^anger^bitterness
climate,sentiment^anger^climate
attack,sentiment^anger^attack
antipathy,sentiment^anger^antipathy
dislike,sentiment^anger^dislike
ferocity,sentiment^anger^ferocity
anxiety,sentiment^anger^anxiety
soreness,sentiment^anger^soreness
ardor,sentiment^anger^ardor
disposition,sentiment^anger^disposition
bloodshed,sentiment^anger^bloodshed
ill,sentiment^anger^ill
disagreement,sentiment^anger^disagreement
dissatisfaction,sentiment^anger^dissatisfaction
frenzy,sentiment^anger^frenzy
eagerness,sentiment^anger^eagerness
tenderness,sentiment^anger^tenderness
dedication,sentiment^anger^dedication
excitement,sentiment^anger^excitement
humor,sentiment^anger^humor
brutality,sentiment^anger^brutality
will,sentiment^anger^will
bad,sentiment^anger^bad
frustration,sentiment^anger^frustration
discord,sentiment^anger^discord
distaste,sentiment^anger^distaste
furor,sentiment^anger^furor
edginess,sentiment^anger^edginess
pique,sentiment^anger^pique
devotion,sentiment^anger^devotion
mood,sentiment^anger^mood
clash,sentiment^anger^clash
rancor,sentiment^anger^rancor
blood,sentiment^anger^blood
dissension,sentiment^anger^dissension
personality,sentiment^anger^personality
confusion,sentiment^anger^confusion
intensity,sentiment^anger^intensity
nervousness,sentiment^anger^nervousness
feeling,sentiment^anger^feeling
cynicism,sentiment^anger^cynicism
spirit,sentiment^anger^spirit
cruelty,sentiment^anger^cruelty
friction,sentiment^anger^friction
contempt,sentiment^anger^contempt
restlessness,sentiment^anger^restlessness
scorn,sentiment^anger^scorn
fervor,sentiment^anger^fervor
temperament,sentiment^anger^temperament
disorder,sentiment^anger^disorder
hate,sentiment^anger^hate
unhappiness,sentiment^anger^unhappiness
madness,sentiment^anger^madness
disgust,sentiment^anger^disgust
