payment	sentiment^payment
amount	sentiment^payment^amount
bills	sentiment^payment^bills
cash	sentiment^payment^cash
credit	sentiment^payment^credit
debit	sentiment^payment^debit
bank	sentiment^payment^bank
loan	sentiment^payment^loan
fee	sentiment^payment^fee
deposit	sentiment^payment^deposit
premium	sentiment^payment^premium
refund	sentiment^payment^refund
donation	sentiment^payment^donation
reward	sentiment^payment^reward
remittance	sentiment^payment^remittance
reimbursement	sentiment^payment^reimbursement
reparation	sentiment^payment^reparation
reapayment	sentiment^payment^reapayment
return	sentiment^payment^return
money	sentiment^payment^money
subsidy	sentiment^payment^subsidy
grant	sentiment^payment^grant
currency	sentiment^payment^currency
buck	sentiment^payment^buck
dollars	sentiment^payment^dollars
euro	sentiment^payment^euro
yen	sentiment^payment^yen
cost	sentiment^payment^cost
investement	sentiment^payment^investement
reserve	sentiment^payment^reserve
expenditure	sentiment^payment^expenditure
expense	sentiment^payment^expense
pay	sentiment^payment^pay
spending	sentiment^payment^spending
price	sentiment^payment^price
profit	sentiment^payment^profit
bonus	sentiment^payment^bonus
financial	sentiment^payment^financial
earning	sentiment^payment^earning
account	sentiment^payment^account
invoice	sentiment^payment^invoice
demand	sentiment^payment^demand
draft	sentiment^payment^draft
billing	sentiment^payment^billing
fund	sentiment^payment^fund
transfer	sentiment^payment^transfer
finance	sentiment^payment^finance
receipt	sentiment^payment^receipt
charges	sentiment^payment^charges
